sample	r1	r2
PAT_194206_P001_WA01	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WA01_i5-153_i7-193_S3499_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WA01_i5-153_i7-193_S3499_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WA02	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WA02_i5-153_i7-194_S3500_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WA02_i5-153_i7-194_S3500_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WA03	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WA03_i5-153_i7-195_S3501_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WA03_i5-153_i7-195_S3501_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WA04	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WA04_i5-153_i7-196_S3502_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WA04_i5-153_i7-196_S3502_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WA05	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WA05_i5-153_i7-197_S3503_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WA05_i5-153_i7-197_S3503_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WA06	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WA06_i5-153_i7-198_S3504_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WA06_i5-153_i7-198_S3504_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WA07	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WA07_i5-153_i7-199_S3505_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WA07_i5-153_i7-199_S3505_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WA08	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WA08_i5-153_i7-200_S3506_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WA08_i5-153_i7-200_S3506_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WA09	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WA09_i5-153_i7-201_S3507_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WA09_i5-153_i7-201_S3507_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WA10	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WA10_i5-153_i7-202_S3508_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WA10_i5-153_i7-202_S3508_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WA11	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WA11_i5-153_i7-203_S3509_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WA11_i5-153_i7-203_S3509_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WA12	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WA12_i5-153_i7-289_S3510_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WA12_i5-153_i7-289_S3510_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WB01	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WB01_i5-153_i7-205_S3511_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WB01_i5-153_i7-205_S3511_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WB02	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WB02_i5-153_i7-290_S3512_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WB02_i5-153_i7-290_S3512_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WB03	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WB03_i5-153_i7-207_S3513_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WB03_i5-153_i7-207_S3513_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WB04	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WB04_i5-153_i7-208_S3514_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WB04_i5-153_i7-208_S3514_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WB05	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WB05_i5-153_i7-291_S3515_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WB05_i5-153_i7-291_S3515_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WB06	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WB06_i5-153_i7-210_S3516_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WB06_i5-153_i7-210_S3516_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WB07	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WB07_i5-153_i7-211_S3517_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WB07_i5-153_i7-211_S3517_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WB08	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WB08_i5-153_i7-212_S3518_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WB08_i5-153_i7-212_S3518_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WB09	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WB09_i5-153_i7-213_S3519_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WB09_i5-153_i7-213_S3519_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WB10	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WB10_i5-153_i7-214_S3520_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WB10_i5-153_i7-214_S3520_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WB11	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WB11_i5-153_i7-215_S3521_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WB11_i5-153_i7-215_S3521_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WB12	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WB12_i5-153_i7-216_S3522_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WB12_i5-153_i7-216_S3522_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WC01	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WC01_i5-153_i7-217_S3523_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WC01_i5-153_i7-217_S3523_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WC02	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WC02_i5-153_i7-218_S3524_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WC02_i5-153_i7-218_S3524_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WC03	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WC03_i5-153_i7-219_S3525_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WC03_i5-153_i7-219_S3525_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WC04	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WC04_i5-153_i7-220_S3526_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WC04_i5-153_i7-220_S3526_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WC05	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WC05_i5-153_i7-221_S3527_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WC05_i5-153_i7-221_S3527_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WC06	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WC06_i5-153_i7-222_S3528_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WC06_i5-153_i7-222_S3528_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WC07	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WC07_i5-153_i7-223_S3529_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WC07_i5-153_i7-223_S3529_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WC08	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WC08_i5-153_i7-224_S3530_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WC08_i5-153_i7-224_S3530_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WC09	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WC09_i5-153_i7-225_S3531_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WC09_i5-153_i7-225_S3531_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WC10	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WC10_i5-153_i7-226_S3532_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WC10_i5-153_i7-226_S3532_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WC11	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WC11_i5-153_i7-227_S3533_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WC11_i5-153_i7-227_S3533_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WC12	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WC12_i5-153_i7-228_S3534_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WC12_i5-153_i7-228_S3534_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WD01	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WD01_i5-153_i7-229_S3535_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WD01_i5-153_i7-229_S3535_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WD02	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WD02_i5-153_i7-230_S3536_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WD02_i5-153_i7-230_S3536_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WD03	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WD03_i5-153_i7-231_S3537_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WD03_i5-153_i7-231_S3537_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WD04	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WD04_i5-153_i7-232_S3538_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WD04_i5-153_i7-232_S3538_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WD05	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WD05_i5-153_i7-233_S3539_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WD05_i5-153_i7-233_S3539_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WD06	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WD06_i5-153_i7-234_S3540_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WD06_i5-153_i7-234_S3540_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WD07	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WD07_i5-153_i7-235_S3541_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WD07_i5-153_i7-235_S3541_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WD08	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WD08_i5-153_i7-236_S3542_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WD08_i5-153_i7-236_S3542_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WD09	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WD09_i5-153_i7-237_S3543_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WD09_i5-153_i7-237_S3543_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WD10	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WD10_i5-153_i7-238_S3544_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WD10_i5-153_i7-238_S3544_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WD11	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WD11_i5-153_i7-239_S3545_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WD11_i5-153_i7-239_S3545_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WD12	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WD12_i5-153_i7-240_S3546_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WD12_i5-153_i7-240_S3546_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WE01	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WE01_i5-153_i7-241_S3547_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WE01_i5-153_i7-241_S3547_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WE02	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WE02_i5-153_i7-242_S3548_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WE02_i5-153_i7-242_S3548_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WE03	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WE03_i5-153_i7-243_S3549_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WE03_i5-153_i7-243_S3549_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WE04	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WE04_i5-153_i7-244_S3550_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WE04_i5-153_i7-244_S3550_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WE05	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WE05_i5-153_i7-245_S3551_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WE05_i5-153_i7-245_S3551_L003-L004_R2_001.fastq.gz
PAT_194206_P001_WE06	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WE06_i5-153_i7-246_S3552_L003-L004_R1_001.fastq.gz	/orange/munoz/jbenevenuto/GS_implementation_FlexSeq6K/Panel_Design_FlexSeq6K/FASTQ/HC_RAPiD-Genomics_F428-F430_PAT_194206_P001_WE06_i5-153_i7-246_S3552_L003-L004_R2_001.fastq.gz
